"AIMD","Ainos, Inc.","Medical Devices","4.90M"
"AIN","Albany International Corp.","Textile Manufacturing","2.70B"
"AIOT","PowerFleet, Inc.","Software - Infrastructure","463.75M"
"AIP","Arteris, Inc.","Semiconductors","287.82M"
"AIR","AAR Corp.","Aerospace & Defense","2.15B"
"AIRE","reAlpha Tech Corp.","Real Estate Services","68.70M"
"AIRG","Airgain, Inc.","Communication Equipment","68.01M"
"AIRI","Air Industries Group","Aerospace & Defense","11.50M"
"AIRJ","Montana Technologies Corporation","Building Products & Equipment","525.61M"
"AIRS","AirSculpt Technologies, Inc.","Medical Care Facilities","252.73M"
"AIRT","Air T, Inc.","Conglomerates","61.58M"
"AISP","Airship AI Holdings, Inc.","Software - Infrastructure","80.23M"
"AIT","Applied Industrial Technologies, Inc.","Industrial Distribution","7.69B"
"AITR","AI TRANSPORTATION ACQUISITION CORP","Shell Companies","81.51M"
"AIU","Meta Data Limited","Education & Training Services","70.75M"
"AIV","Apartment Investment and Management Company","REIT - Residential","1.29B"
"AIXI","Xiao-I Corporation","Software - Application","38.89M"
"AIZ","Assurant, Inc.","Insurance - Specialty","9.01B"
"AJG","Arthur J. Gallagher & Co.","Insurance Brokers","62.91B"
"AJX","Great Ajax Corp.","REIT - Mortgage","165.09M"
"AKA","a.k.a. Brands Holding Corp.","Apparel Retail","174.57M"
